iter	Passed	Remaining
650	1029	551
651	1030	550
652	1031	548
653	1033	546
654	1034	544
655	1035	542
656	1036	541
657	1037	539
658	1039	537
659	1040	536
660	1041	534
661	1043	532
662	1044	531
663	1046	529
664	1047	527
665	1048	525
666	1049	524
667	1050	522
668	1052	520
669	1054	519
670	1055	517
671	1056	515
672	1058	514
673	1059	512
674	1061	511
675	1062	509
676	1063	507
677	1064	505
678	1066	503
679	1067	502
680	1069	500
681	1070	499
682	1071	497
683	1073	495
684	1074	494
685	1076	492
686	1077	490
687	1078	489
688	1079	487
689	1081	485
690	1082	484
691	1084	482
692	1085	481
693	1087	479
694	1088	477
695	1090	476
696	1091	474
697	1092	472
698	1094	471
699	1095	469
700	1096	467
701	1098	466
702	1100	464
703	1101	463
704	1102	461
705	1104	459
706	1105	458
707	1107	456
708	1108	455
709	1110	453
710	1111	451
711	1113	450
712	1115	448
713	1116	447
714	1117	445
715	1119	443
716	1120	442
717	1121	440
718	1123	438
719	1124	437
720	1125	435
721	1126	433
722	1127	432
723	1129	430
724	1130	428
725	1132	427
726	1133	425
727	1135	424
728	1136	422
729	1137	420
730	1138	419
731	1140	417
732	1141	415
733	1142	414
734	1144	412
735	1145	411
736	1147	409
737	1148	407
738	1150	406
739	1151	404
740	1153	403
741	1154	401
742	1155	399
743	1156	397
744	1157	396
745	1159	394
746	1161	393
747	1162	391
748	1163	390
749	1165	388
750	1167	386
751	1168	385
752	1169	383
753	1170	381
754	1172	380
755	1173	378
756	1175	377
757	1176	375
758	1177	373
759	1179	372
760	1180	370
761	1182	369
762	1183	367
763	1184	365
764	1186	364
765	1187	362
766	1188	361
767	1189	359
768	1191	357
769	1192	356
770	1194	354
771	1195	353
772	1197	351
773	1198	349
774	1199	348
775	1201	346
776	1202	345
777	1203	343
778	1204	341
779	1206	340
780	1207	338
781	1209	337
782	1210	335
783	1212	333
784	1213	332
785	1214	330
786	1215	328
787	1216	327
788	1218	325
789	1219	324
790	1221	322
791	1222	321
792	1223	319
793	1225	317
794	1227	316
795	1228	314
796	1229	313
797	1230	311
798	1232	309
799	1233	308
800	1234	306
801	1235	305
802	1237	303
803	1238	301
804	1239	300
805	1241	298
806	1242	297
807	1244	295
808	1245	294
809	1246	292
810	1247	290
811	1249	289
812	1250	287
813	1251	286
814	1253	284
815	1254	282
816	1255	281
817	1257	279
818	1258	278
819	1259	276
820	1261	274
821	1262	273
822	1263	271
823	1264	270
824	1266	268
825	1267	267
826	1269	265
827	1270	263
828	1271	262
829	1273	260
830	1274	259
831	1276	257
832	1277	256
833	1278	254
834	1280	253
835	1282	251
836	1283	249
837	1284	248
838	1286	246
